Codes,Area names,Region,Location,Total % 0-4,Total % 5-6,Total % 7-8,Total % 9-10,Total Average rating,0-4 CV,0-4 Lower limit,0-4 Upper limit,5-6 CV, 5-6 Lower limit,5-6 Upper limit,7-8 CV,7-8 Lower limit,7-8 Upper limit,9-10 CV,9-10 Lower limit,9-10 Upper limit,Total CV,Total Lower limit,Total Upper limit,Sample size
E07000154,,,Northampton,11.03,19.560000000000002,33.57,35.83,7.3925,18.573333333333334,6.746666666666666,14.563333333333333,15.426666666666668,12.786666666666667,23.97,9.786666666666667,27.933333333333334,41.29,9.183333333333332,29.74,42.97333333333333,2.0824999999999996,7.0875,7.695000000000001,262.0
E07000155,,,South Northamptonshire,,,,,7.8225,38.663333333333334,1.0750000000000002,9.345,23.573333333333334,5.8149999999999995,17.235,11.013333333333334,37.77,56.94,11.586666666666668,27.375,44.445,2.2725,7.4625,8.182500000000001,136.5
E07000156,,,Wellingborough,,,,,7.41,31.506666666666664,3.455,16.240000000000002,25.453333333333333,8.13,24.445,12.9,31.475,53.935,16.95,20.15,42.17,3.495,6.890000000000001,7.93,101.75
E07000163,,,Craven,,,,,7.705,45.836666666666666,1.8399999999999999,16.5,25.62,6.745,22.42,17.240000000000002,22.215,45.28,13.700000000000001,30.665,54.345,3.1875,7.202500000000001,8.205,82.0
E07000164,,,Hambleton,,,,,7.68,31.313333333333333,4.285,14.59,25.45,8.115,23.725,12.209999999999999,25.505000000000003,42.465,12.363333333333335,32.015,49.3,2.8175,7.245,8.1175,107.5
E07000165,,,Harrogate,,,,,7.515,23.429999999999996,4.575,12.315000000000001,14.953333333333333,12.695,22.869999999999997,9.116666666666667,35.3,50.375,10.733333333333333,24.055,37.815,1.9875,7.225,7.815,210.0
E07000166,,,Richmondshire,,,,,7.465,44.826666666666675,1.2000000000000002,11.4,32.266666666666666,8.895,30.96,14.603333333333333,33.915,59.394999999999996,18.676666666666666,16.09,38.14,3.7325,6.905,8.025,70.0
E07000167,,,Ryedale,,,,,7.6925,53.346666666666664,0.94,13.655,29.45,6.955,28.005,15.553333333333333,25.55,47.345,15.356666666666667,26.634999999999998,50.915000000000006,3.01,7.215,8.17,79.75
E07000168,,,Scarborough,,,,,7.367500000000001,35.91,2.0949999999999998,12.735,17.89,14.84,30.185,12.339999999999998,30.31,48.08,14.666666666666666,22.4,39.355000000000004,3.0025000000000004,6.925,7.8100000000000005,142.0
E07000169,,,Selby,,,,,7.555,30.723333333333333,4.109999999999999,14.8,21.563333333333333,8.495,22.479999999999997,12.096666666666666,28.89,48.53,12.253333333333336,26.825,45.864999999999995,2.7849999999999997,7.132499999999999,7.98,134.5
E07000170,,,Ashfield,,,,,7.2325,24.98,7.164999999999999,19.880000000000003,19.76,14.100000000000001,29.525,12.173333333333332,28.575,45.795,13.730000000000002,19.560000000000002,35.405,2.915,6.81,7.6525,137.0
E07000171,,,Bassetlaw,,,,,7.495,23.733333333333334,5.46,16.99,18.99,10.765,23.095,9.353333333333333,31.415,46.355,11.273333333333333,25.189999999999998,40.735,2.6100000000000003,7.102499999999999,7.885,167.5
E07000172,,,Broxtowe,,,,,7.484999999999999,35.339999999999996,1.63,11.915,20.74,10.64,23.759999999999998,9.76,36.17,52.13,13.073333333333332,23.65,40.11,2.6825,7.08,7.887499999999999,138.0
E07000173,,,Gedling,,,,,7.3575,28.299999999999997,4.995,17.345,19.389999999999997,10.07,24.14,10.37,31.685000000000002,47.73,14.103333333333333,22.935000000000002,41.105000000000004,2.8375000000000004,6.940000000000001,7.774999999999999,148.25
E07000174,,,Mansfield,13.04,18.06,36.61,32.28,7.1899999999999995,21.936666666666667,8.969999999999999,23.205,20.17,12.355,27.435000000000002,11.686666666666667,27.1,44.275000000000006,14.589999999999998,19.685,36.975,3.42,6.700000000000001,7.6875,136.5
E07000175,,,Newark and Sherwood,,,,,7.265,25.099999999999998,6.395,17.785,19.069999999999997,11.745000000000001,26.985,13.13,27.33,44.19,13.526666666666666,23.585,41.980000000000004,3.055,6.8225,7.71,151.25
